timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673431529920,6358,HTTP Request,200,OK,AchomkaOffer 1-194,text,true,,2780,114,248,248,https://carnesia.com/,6358,0,6113
1673431529958,6320,HTTP Request,200,OK,AchomkaOffer 1-87,text,true,,2786,114,248,248,https://carnesia.com/,6320,0,6075
1673431530437,5841,HTTP Request,200,OK,AchomkaOffer 1-650,text,true,,2800,114,248,248,https://carnesia.com/,5841,0,5598
1673431530389,5889,HTTP Request,200,OK,AchomkaOffer 1-555,text,true,,2784,114,248,248,https://carnesia.com/,5889,0,5650
1673431529938,6340,HTTP Request,200,OK,AchomkaOffer 1-28,text,true,,2782,114,246,246,https://carnesia.com/,6340,0,6106
1673431530510,5769,HTTP Request,200,OK,AchomkaOffer 1-767,text,true,,2780,114,244,244,https://carnesia.com/,5768,0,5520
1673431530386,5893,HTTP Request,200,OK,AchomkaOffer 1-566,text,true,,2778,114,244,244,https://carnesia.com/,5892,0,5648
1673431530430,5851,HTTP Request,200,OK,AchomkaOffer 1-630,text,true,,2778,114,241,241,https://carnesia.com/,5851,0,5549
1673431530431,5856,HTTP Request,200,OK,AchomkaOffer 1-581,text,true,,2786,114,240,240,https://carnesia.com/,5856,0,5396
1673431529976,6313,HTTP Request,200,OK,AchomkaOffer 1-185,text,true,,2784,114,239,239,https://carnesia.com/,6313,0,5842
1673431530392,5898,HTTP Request,200,OK,AchomkaOffer 1-539,text,true,,2781,114,238,238,https://carnesia.com/,5859,0,5577
1673431530077,6213,HTTP Request,200,OK,AchomkaOffer 1-122,text,true,,2778,114,237,237,https://carnesia.com/,6213,0,5736
1673431529938,6353,HTTP Request,200,OK,AchomkaOffer 1-25,text,true,,2786,114,237,237,https://carnesia.com/,6256,0,5870
1673431530388,5904,HTTP Request,200,OK,AchomkaOffer 1-528,text,true,,2780,114,235,235,https://carnesia.com/,5904,0,5336
1673431530551,5744,HTTP Request,200,OK,AchomkaOffer 1-740,text,true,,2780,114,234,234,https://carnesia.com/,5744,0,5171
1673431529973,6352,HTTP Request,200,OK,AchomkaOffer 1-201,text,true,,2784,114,232,232,https://carnesia.com/,6352,0,6103
1673431530236,6090,HTTP Request,200,OK,AchomkaOffer 1-466,text,true,,2780,114,232,232,https://carnesia.com/,6089,0,5837
1673431530100,6226,HTTP Request,200,OK,AchomkaOffer 1-362,text,true,,2785,114,231,231,https://carnesia.com/,6226,0,5331
1673431530620,5707,HTTP Request,200,OK,AchomkaOffer 1-792,text,true,,2780,114,230,230,https://carnesia.com/,5706,0,5462
1673431529975,6369,HTTP Request,200,OK,AchomkaOffer 1-200,text,true,,2784,114,228,228,https://carnesia.com/,6354,0,6110
1673431529972,6372,HTTP Request,200,OK,AchomkaOffer 1-118,text,true,,2782,114,228,228,https://carnesia.com/,6372,0,6104
1673431530682,5667,HTTP Request,200,OK,AchomkaOffer 1-834,text,true,,2786,114,226,226,https://carnesia.com/,5667,0,5209
1673431529929,6419,HTTP Request,200,OK,AchomkaOffer 1-198,text,true,,2786,114,226,226,https://carnesia.com/,6419,0,5938
1673431530512,5839,HTTP Request,200,OK,AchomkaOffer 1-770,text,true,,2788,114,223,223,https://carnesia.com/,5839,0,5370
1673431530109,6242,HTTP Request,200,OK,AchomkaOffer 1-319,text,true,,2780,114,223,223,https://carnesia.com/,6242,0,5771
1673431529912,6440,HTTP Request,200,OK,AchomkaOffer 1-259,text,true,,2782,114,222,222,https://carnesia.com/,6439,0,5963
1673431529974,6378,HTTP Request,200,OK,AchomkaOffer 1-71,text,true,,2780,114,221,221,https://carnesia.com/,6378,0,6101
1673431530719,5632,HTTP Request,200,OK,AchomkaOffer 1-962,text,true,,2788,114,222,222,https://carnesia.com/,5632,0,5144
1673431530414,5941,HTTP Request,200,OK,AchomkaOffer 1-614,text,true,,2778,114,217,217,https://carnesia.com/,5941,0,5438
1673431530255,6102,HTTP Request,200,OK,AchomkaOffer 1-322,text,true,,2786,114,216,216,https://carnesia.com/,6102,0,5590
1673431530214,6144,HTTP Request,200,OK,AchomkaOffer 1-430,text,true,,2786,114,215,215,https://carnesia.com/,6144,0,5624
1673431530682,5677,HTTP Request,200,OK,AchomkaOffer 1-842,text,true,,2788,114,215,215,https://carnesia.com/,5676,0,5001
1673431530182,6177,HTTP Request,200,OK,AchomkaOffer 1-415,text,true,,2780,114,214,214,https://carnesia.com/,6177,0,5650
1673431529994,6366,HTTP Request,200,OK,AchomkaOffer 1-120,text,true,,2784,114,213,213,https://carnesia.com/,6366,0,5833
1673431529921,6439,HTTP Request,200,OK,AchomkaOffer 1-183,text,true,,2788,114,212,212,https://carnesia.com/,6439,0,5915
1673431530586,5775,HTTP Request,200,OK,AchomkaOffer 1-858,text,true,,2788,114,212,212,https://carnesia.com/,5774,0,5236
1673431530562,5799,HTTP Request,200,OK,AchomkaOffer 1-803,text,true,,2778,114,211,211,https://carnesia.com/,5799,0,5261
1673431530385,5976,HTTP Request,200,OK,AchomkaOffer 1-554,text,true,,2788,114,208,208,https://carnesia.com/,5976,0,5423
1673431530429,5932,HTTP Request,200,OK,AchomkaOffer 1-658,text,true,,2776,114,208,208,https://carnesia.com/,5932,0,5408
1673431529928,6433,HTTP Request,200,OK,AchomkaOffer 1-279,text,true,,2780,114,208,208,https://carnesia.com/,6433,0,5875
1673431530460,5901,HTTP Request,200,OK,AchomkaOffer 1-662,text,true,,2778,114,208,208,https://carnesia.com/,5901,0,5349
1673431530392,5973,HTTP Request,200,OK,AchomkaOffer 1-563,text,true,,2782,114,203,203,https://carnesia.com/,5973,0,5691
1673431530740,5628,HTTP Request,200,OK,AchomkaOffer 1-994,text,true,,2786,114,202,202,https://carnesia.com/,5627,0,5015
1673431530110,6257,HTTP Request,200,OK,AchomkaOffer 1-338,text,true,,2781,114,202,202,https://carnesia.com/,6257,0,5653
1673431530562,5806,HTTP Request,200,OK,AchomkaOffer 1-935,text,true,,2784,114,200,200,https://carnesia.com/,5803,0,5528
1673431530420,5949,HTTP Request,200,OK,AchomkaOffer 1-572,text,true,,2794,114,200,200,https://carnesia.com/,5949,0,5667
1673431530470,5899,HTTP Request,200,OK,AchomkaOffer 1-703,text,true,,2782,114,198,198,https://carnesia.com/,5678,0,5233
1673431530102,6278,HTTP Request,200,OK,AchomkaOffer 1-351,text,true,,2780,114,197,197,https://carnesia.com/,6277,0,5989
1673431530102,6280,HTTP Request,200,OK,AchomkaOffer 1-316,text,true,,2784,114,196,196,https://carnesia.com/,6278,0,5996
1673431530769,5619,HTTP Request,200,OK,AchomkaOffer 1-997,text,true,,2786,114,195,195,https://carnesia.com/,5618,0,5325
1673431530432,5956,HTTP Request,200,OK,AchomkaOffer 1-847,text,true,,2786,114,195,195,https://carnesia.com/,5956,0,5667
1673431530314,6075,HTTP Request,200,OK,AchomkaOffer 1-441,text,true,,2788,114,195,195,https://carnesia.com/,6074,0,5014
1673431530627,5762,HTTP Request,200,OK,AchomkaOffer 1-797,text,true,,2780,114,194,194,https://carnesia.com/,5759,0,5469
1673431530588,5803,HTTP Request,200,OK,AchomkaOffer 1-784,text,true,,2784,114,191,191,https://carnesia.com/,5803,0,5384
1673431529968,6424,HTTP Request,200,OK,AchomkaOffer 1-164,text,true,,2786,114,191,191,https://carnesia.com/,6424,0,6137
1673431530119,6273,HTTP Request,200,OK,AchomkaOffer 1-300,text,true,,2784,114,191,191,https://carnesia.com/,6273,0,5988
1673431530429,5963,HTTP Request,200,OK,AchomkaOffer 1-635,text,true,,2790,114,191,191,https://carnesia.com/,5963,0,5685
1673431530101,6292,HTTP Request,200,OK,AchomkaOffer 1-354,text,true,,2786,114,188,188,https://carnesia.com/,6292,0,6017
1673431530389,6004,HTTP Request,200,OK,AchomkaOffer 1-520,text,true,,2782,114,188,188,https://carnesia.com/,6004,0,5722
1673431529972,6422,HTTP Request,200,OK,AchomkaOffer 1-16,text,true,,2784,114,185,185,https://carnesia.com/,6422,0,6029
1673431530674,5720,HTTP Request,200,OK,AchomkaOffer 1-915,text,true,,2780,114,185,185,https://carnesia.com/,5720,0,5328
1673431530101,6294,HTTP Request,200,OK,AchomkaOffer 1-355,text,true,,2780,114,183,183,https://carnesia.com/,6294,0,5915
1673431530310,6087,HTTP Request,200,OK,AchomkaOffer 1-437,text,true,,2782,114,181,181,https://carnesia.com/,6082,0,5783
1673431530576,5822,HTTP Request,200,OK,AchomkaOffer 1-835,text,true,,2783,114,181,181,https://carnesia.com/,5821,0,5542
1673431530529,5869,HTTP Request,200,OK,AchomkaOffer 1-686,text,true,,2786,114,181,181,https://carnesia.com/,5864,0,5582
